id_txn,id_comercio,id_cliente,fecha_hora,monto_total,costo_estimado,ganancia_neta,categoria_compra,estado,metodo_pago
TXN-000001,COM-001,CLI-1-033,2025-05-01 12:20,1.25,0.75,0.5,Bebidas,Exitosa,QR Deuna
TXN-000002,COM-001,CLI-1-018,2025-05-01 16:52,7.5,4.57,2.93,Granos,Exitosa,QR Deuna
TXN-000003,COM-001,CLI-1-034,2025-05-01 08:40,2.1,1.37,0.73,Snacks,Exitosa,QR Deuna
TXN-000004,COM-001,CLI-1-032,2025-05-01 19:57,0.7,0.49,0.21,Snacks,Exitosa,Transferencia
TXN-000005,COM-001,CLI-1-052,2025-05-01 13:55,5.0,3.48,1.52,Granos,Exitosa,Transferencia
TXN-000006,COM-001,CLI-1-026,2025-05-01 18:37,1.4,0.9,0.5,Snacks,Exitosa,Transferencia
TXN-000007,COM-001,CLI-1-040,2025-05-01 13:52,1.25,0.83,0.42,Bebidas,Exitosa,Transferencia
TXN-000008,COM-001,CLI-1-067,2025-05-01 13:34,5.0,3.4,1.6,Granos,Exitosa,QR Deuna
TXN-000009,COM-001,CLI-1-094,2025-05-01 16:13,0.7,0.47,0.23,Snacks,Exitosa,Transferencia
TXN-000010,COM-001,CLI-1-090,2025-05-01 16:51,5.0,3.29,1.71,Granos,Exitosa,QR Deuna
TXN-000011,COM-001,CLI-1-083,2025-05-01 14:21,2.5,1.74,0.76,Granos,Exitosa,QR Deuna
TXN-000012,COM-001,CLI-1-071,2025-05-01 10:57,1.4,0.85,0.55,Snacks,Exitosa,QR Deuna
TXN-000013,COM-001,CLI-1-038,2025-05-01 19:40,2.1,1.32,0.78,Snacks,Exitosa,QR Deuna
TXN-000014,COM-001,CLI-1-002,2025-05-01 16:10,7.5,4.86,2.64,Granos,Exitosa,Transferencia
TXN-000015,COM-001,CLI-1-093,2025-05-01 09:32,2.5,1.54,0.96,Granos,Exitosa,QR Deuna
TXN-000016,COM-001,CLI-1-086,2025-05-01 12:13,7.5,5.08,2.42,Granos,Exitosa,QR Deuna
TXN-000017,COM-001,CLI-1-069,2025-05-01 15:06,3.75,2.48,1.27,Bebidas,Exitosa,Transferencia
TXN-000018,COM-001,CLI-1-094,2025-05-01 15:58,2.5,1.57,0.93,Bebidas,Exitosa,QR Deuna
TXN-000019,COM-001,CLI-1-064,2025-05-01 15:58,3.75,2.44,1.31,Bebidas,Exitosa,QR Deuna
TXN-000020,COM-001,CLI-1-075,2025-05-01 12:16,0.7,0.42,0.28,Snacks,Exitosa,Transferencia
TXN-000021,COM-001,CLI-1-097,2025-05-01 13:58,2.5,1.54,0.96,Granos,Exitosa,QR Deuna
TXN-000022,COM-001,CLI-1-093,2025-05-01 11:55,5.0,3.2,1.8,Granos,Exitosa,Transferencia
TXN-000023,COM-001,CLI-1-098,2025-05-02 15:47,1.4,0.96,0.44,Snacks,Exitosa,QR Deuna
TXN-000024,COM-001,CLI-1-073,2025-05-02 13:17,7.5,4.6,2.9,Granos,Exitosa,Transferencia
TXN-000025,COM-001,CLI-1-057,2025-05-02 10:35,0.7,0.46,0.24,Snacks,Exitosa,QR Deuna
TXN-000026,COM-001,CLI-1-099,2025-05-02 08:35,2.5,1.57,0.93,Bebidas,Exitosa,QR Deuna
TXN-000027,COM-001,CLI-1-092,2025-05-02 15:58,2.1,1.35,0.75,Snacks,Exitosa,QR Deuna
TXN-000028,COM-001,CLI-1-087,2025-05-02 18:21,7.5,5.07,2.43,Granos,Exitosa,QR Deuna
TXN-000029,COM-001,CLI-1-008,2025-05-02 10:21,2.1,1.3,0.8,Snacks,Exitosa,QR Deuna
TXN-000030,COM-001,CLI-1-075,2025-05-02 15:21,7.5,4.81,2.69,Granos,Exitosa,QR Deuna
TXN-000031,COM-001,CLI-1-002,2025-05-02 13:01,1.25,0.83,0.42,Bebidas,Exitosa,Transferencia
TXN-000032,COM-001,CLI-1-100,2025-05-02 16:44,2.5,1.63,0.87,Bebidas,Exitosa,QR Deuna
TXN-000033,COM-001,CLI-1-025,2025-05-02 15:13,2.5,1.75,0.75,Granos,Exitosa,Transferencia
TXN-000034,COM-001,CLI-1-078,2025-05-02 16:43,2.5,1.68,0.82,Granos,Exitosa,QR Deuna
TXN-000035,COM-001,CLI-1-076,2025-05-02 10:35,2.5,1.53,0.97,Granos,Exitosa,QR Deuna
TXN-000036,COM-001,CLI-1-094,2025-05-02 13:21,2.5,1.75,0.75,Granos,Exitosa,QR Deuna
TXN-000037,COM-001,CLI-1-045,2025-05-02 12:02,2.1,1.36,0.74,Snacks,Exitosa,QR Deuna
TXN-000038,COM-001,CLI-1-083,2025-05-02 15:12,0.7,0.42,0.28,Snacks,Exitosa,QR Deuna
TXN-000039,COM-001,CLI-1-048,2025-05-02 08:52,2.1,1.44,0.66,Snacks,Exitosa,QR Deuna
